Consortium,Data Provider,HRA organ,Tissue block ID,RUI JSON ID,Registration Quality,Reason,Other comments,Unnamed: 8,Unnamed: 9,Unnamed: 10
Buck TMC,Kevin Schneider,Breast,SNT973.NQTF.824,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT975.BGLH.946,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT976.FBBP.765,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT976.SQHP.226,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT977.JQFF.836,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT983.HBXR.934,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT993.DPSP.328,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,LO,SNT859.BGJD.985,LO_2.json,Medium,Tissue laterality unknown,"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;",,,
Buck TMC,Kevin Schneider,LO,SNT693.PDTP.463,LO_2.json,Medium,Other (please specify),"Unknown laterality,Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available",,,
Buck TMC,Kevin Schneider,LO,SNT997.THBH.633,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT877.JLQM.344,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT527.CJRQ.648,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT426.SVPB.368,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT392.PXMB.894,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT368.RRFS.286,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT356.PGVV.645,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block;,,,
Buck TMC,Kevin Schneider,LO,SNT895.FQMH.269,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT884.SRFM.357,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT737.WGKS.995,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT726.DVWZ.454,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
Buck TMC,Kevin Schneider,LO,SNT458.WMZX.622,LO_2.json,Medium,Other (please specify),Unknown location of original 3mm tissue section of ovary; cannot tell orient tissue block; contains both left and right if both ovary available,,,
