block_id,slice_id,filename,tree_pos,slice_number,Unnamed: 0,x,y,z_slice,color,r,g,b,xlim,ylim,pin_nhash_id,polygon_nhash_id,atlas_id,local_name,slab_nhash_id,donor_nhash_id,slab_name,donor_name,pin_MRI_x,pin_MRI_y,pin_HCP_x,pin_HCP_y,pin_HCP_z,pin_MNI_x,pin_MNI_y,pin_MNI_z,polygon_area,polygon_volume(mm^3)
B3,112360837,slice_355.png,354,1600,RI-RNMSQR910763,476,128,1600,CYAN,0,255,255,1564,1114,RI-NQOTLQ743402,RI-RNMSQR910763,265297126,H18.30.002.10x.S1C.003,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,49,138,139,195,292,139,195,292,2914.5,178
B4,112363174,slice_422.png,421,1919,RI-WOOTOR737243,517,150,1919,CYAN,0,255,255,1532,1136,RI-HPIPPP377293,RI-WOOTOR737243,265297126,H18.30.002.10x.A5-A7,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,70,142,152,126,263,152,126,263,3157,203
B4,112363110,slice_438.png,437,1983,RI-MLKOKM241550,75,1217,1983,CYAN,0,255,255,1583,1103,RI-YAXCEA296838,RI-MLKOKM241550,265297126,H18.30.002.10x.PnEN,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,321,43,171,175,74,171,175,74,10107,619
B4,112363004,slice_464.png,463,2087,RI-CBZYBG915275,378,1330,2087,CYAN,0,255,255,1555,1031,RI-MNMMRR105598,RI-CBZYBG915275,265297126,H18.30.002.10x.CBL,SL-KFFCCX489028,DO-KFFC4890,H18.30.002.CX.53,H18.30.002,347,119,148,172,62,148,172,62,3712.5,242
B5,112364339,slice_500.png,499,2270,RI-TUUZUU645233,134,1350,2270,CYAN,0,255,255,1542,1067,RI-XWYZWU295666,RI-TUUZUU645233,265297126,H18.30.002.10x.MoSR,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,364,50,188,158,37,188,158,37,2790.5,171
B2,111257682,slice_200.png,199,910,RI-TTZTQQ189218,417,1044,910,CYAN,0,255,255,1208,928,RI-CDFFFL804624,RI-TTZTQQ189218,265297126,H19.30.002.10x.A13.001,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,322,132,148,305,96,148,305,96,53544,1076
B2,112282579,slice_248.png,247,1117,RI-ADEBZB698801,205,1106,1117,CYAN,0,255,255,1320,980,RI-AXYFEE689464,RI-ADEBZB698801,265297126,H19.30.002.10x.AON.001,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,322,74,164,288,114,164,288,114,5256.5,87
B3,112360751,slice_375.png,374,1684,RI-EKLGHN146306,483,81,1684,CYAN,0,255,255,1529,1139,RI-MMLPPT504358,RI-EKLGHN146306,265297126,H19.30.002.10x.S1C.004,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,57,137,139,188,289,139,188,289,269663,4566
B4,112363270,slice_398.png,397,1823,RI-ADAADY474524,110,931,1823,CYAN,0,255,255,1552,1112,RI-NURROO325377,RI-ADAADY474524,265297126,H19.30.002.10x.SC,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,262,49,188,210,116,188,210,116,1989.5,36
B4,112363012,slice_462.png,461,2079,RI-AYXYWY919148,201,77,2079,CYAN,0,255,255,1583,1031,RI-OTTMLL628716,RI-AYXYWY919148,265297126,H19.30.002.CX55.A7,SL-RLQJWU866623,DO-RLQJ8666,H19.30.002.CX.55,H19.30.002,44,71,172,111,262,172,111,262,7600.5,111
B5,112364420,slice_480.png,479,2190,RI-VRMPRU452022,224,773,2190,CYAN,0,255,255,1532,1012,RI-RMRNLJ552769,RI-VRMPRU452022,265297126,H19.30.002.CX56.V2,SL-RLQJWV866671,DO-RLQJ8666,H19.30.002.CX.56,H19.30.002,225,75,164,159,131,164,159,131,2443.5,31
B5,112364351,slice_497.png,496,2258,RI-WXRRTU188412,337,342,2258,CYAN,0,255,255,1512,1012,RI-EFHKGI270792,RI-WXRRTU188412,265297126,H19.30.002.CX57.PSC,SL-RLQJZA866677,DO-RLQJ8666,H19.30.002.CX.57,H19.30.002,125,100,164,114,202,164,114,202,46566,490
B3,112360771,slice_368.png,367,1664,RI-XUOQQT789348,228,792,1664,CYAN,0,255,255,1505,1108,RI-MIHLQQ354569,RI-XUOQQT789348,265297126,H19.30.001.10x.Pul,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,228,73,164,204,153,164,204,153,583,11
B2,111257757,slice_217.png,216,978,RI-DGECGH203813,307,1112,978,DARKGRAY,169,169,169,1292,940,RI-CFJBHD262132,RI-DGECGH203813,265297126,H18.30.002.10x.A13,SL-KFFCUB489027,DO-KFFC4890,H18.30.002.CX.45,H18.30.002,337,97,164,294,93,164,294,93,4458,271
B2,112282707,slice_277.png,276,1261,RI-VRTRUY291060,277,941,1261,DARKGRAY,169,169,169,1402,1112,RI-ECAFFE468390,RI-VRTRUY291060,265297126,H18.30.002.10x.GPi,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,277,72,164,260,140,164,260,140,5060.5,310
